_lowerFrequency,_higherFrequency,_term,_status,_shortComments
5480000,5680000,Aeronautical Mobile (OR),primary,
5680000,5730000,Aeronautical Mobile (OR),primary,
5730000,5900000,Fixed,primary,
5730000,5900000,Land Mobile,primary,
5900000,5950000,Broadcasting,primary,
5950000,6200000,Broadcasting,primary,
6200000,6525000,Maritime Mobile,primary,
6525000,6685000,Aeronautical Mobile (R),primary,
6685000,6765000,Aeronautical Mobile (OR),primary,
6765000,7000000,Fixed,primary,
6765000,7000000,Mobile except aeronautical mobile (R),primary,
7000000,7100000,Amateur-Satellite,primary,
7000000,7100000,Amateur,primary,
7100000,7200000,Amateur,primary,
7200000,7300000,Broadcasting,primary,
7300000,7400000,Broadcasting,primary,
7400000,7450000,Broadcasting,primary,
7450000,8100000,Fixed,primary,
7450000,8100000,Mobile except aeronautical mobile (R),primary,
8100000,8195000,Fixed,primary,
8100000,8195000,Maritime Mobile,primary,
8195000,8815000,Maritime Mobile,primary,
8815000,8965000,Aeronautical Mobile (R),primary,
8965000,9040000,Aeronautical Mobile (OR),primary,
9040000,9305000,Fixed,primary,
9305000,9355000,Fixed,primary,
9305000,9355000,Radiolocation,secondary,
9355000,9400000,Fixed,primary,
9400000,9500000,Broadcasting,primary,
9500000,9900000,Broadcasting,primary,
9900000,9995000,Fixed,primary,
9995000,10003000,Standard Frequency and Time Signal (10 000 kHz),primary,
10003000,10005000,Space Research,secondary,
10003000,10005000,Standard Frequency and Time Signal,primary,
10005000,10100000,Aeronautical Mobile (R),primary,
10100000,10150000,Fixed,primary,
10100000,10150000,Amateur,secondary,
10150000,11175000,Fixed,primary,
10150000,11175000,Mobile except aeronautical mobile (R),secondary,
11175000,11275000,Aeronautical Mobile (OR),primary,
11275000,11400000,Aeronautical Mobile (R),primary,
11400000,11600000,Fixed,primary,
11600000,11650000,Broadcasting,primary,
11650000,12050000,Broadcasting,primary,
12050000,12100000,Broadcasting,primary,
12100000,12230000,Fixed,primary,
12230000,13200000,Maritime Mobile,primary,
13200000,13260000,Aeronautical Mobile (OR),primary,
13260000,13360000,Aeronautical Mobile (R),primary,
13360000,13410000,Fixed,primary,
13360000,13410000,Radio Astronomy,primary,
13410000,13450000,Fixed,primary,
13410000,13450000,Mobile except aeronautical mobile (R),secondary,
13450000,13550000,Fixed,primary,
13450000,13550000,Mobile except aeronautical mobile (R),secondary,
13450000,13550000,Radiolocation,secondary,
13550000,13570000,Fixed,primary,
13550000,13570000,Mobile except aeronautical mobile (R),secondary,
13570000,13600000,Broadcasting,primary,
13600000,13800000,Broadcasting,primary,
13800000,13870000,Broadcasting,primary,
13870000,14000000,Fixed,primary,
13870000,14000000,Mobile except aeronautical mobile (R),secondary,
14000000,14250000,Amateur,primary,
14000000,14250000,Amateur-Satellite,primary,
14250000,14350000,Amateur,primary,
14350000,14990000,Fixed,primary,
14350000,14990000,Mobile except aeronautical mobile (R),secondary,
14990000,15005000,Standard Frequency and Time Signal (15 000 KHZ),primary,
15005000,15010000,Standard Frequency and Time Signal,primary,
15005000,15010000,Space Research,secondary,
15010000,15100000,Aeronautical Mobile (OR),primary,
15100000,15600000,Broadcasting,primary,
15600000,15800000,Broadcasting,primary,
15800000,16100000,Fixed,primary,
16100000,16200000,Fixed,primary,
16100000,16200000,Radiolocation,secondary,
16200000,16360000,Fixed,primary,
16360000,17410000,Maritime Mobile,primary,
17410000,17480000,Fixed,primary,
17480000,17550000,Broadcasting,primary,
17550000,17900000,Broadcasting,primary,
17900000,17970000,Aeronautical Mobile (R),primary,
17970000,18030000,Aeronautical Mobile (OR),primary,
18030000,18052000,Fixed,primary,
18052000,18068000,Fixed,primary,
18052000,18068000,Space Research,secondary,
18068000,18168000,Amateur-Satellite,primary,
18068000,18168000,Amateur,primary,
18168000,18780000,Fixed,primary,
18168000,18780000,Mobile except aeronautical mobile,secondary,
18780000,18900000,Maritime Mobile,primary,
18900000,19020000,Broadcasting,primary,
19020000,19680000,Fixed,primary,
19680000,19800000,Maritime Mobile,primary,
19800000,19990000,Fixed,primary,
19990000,19995000,Standard Frequency and Time Signal,primary,
19990000,19995000,Space Research,secondary,
19995000,20010000,Standard Frequency and Time Signal (20 000 KHZ),primary,
20010000,21000000,Fixed,primary,
20010000,21000000,Mobile,secondary,
21000000,21450000,Amateur,primary,
21000000,21450000,Amateur-Satellite,primary,
21450000,21850000,Broadcasting,primary,
21850000,21870000,Fixed,primary,
21870000,21924000,Fixed,primary,
21924000,22000000,Aeronautical Mobile (R),primary,
22000000,22855000,Maritime Mobile,primary,
22855000,23000000,Fixed,primary,
23000000,23200000,Fixed,primary,
23000000,23200000,Mobile except aeronautical mobile (R),secondary,
23200000,23350000,Aeronautical Mobile (OR),primary,
23200000,23350000,Fixed,primary,
23350000,24000000,Fixed,primary,
23350000,24000000,Mobile except aeronautical mobile,primary,
24000000,24450000,Fixed,primary,
24000000,24450000,Land Mobile,primary,
24450000,24600000,Fixed,primary,
24450000,24600000,Land Mobile,primary,
24450000,24600000,Radiolocation,secondary,
24600000,24890000,Fixed,primary,
24600000,24890000,Land Mobile,primary,
24890000,24990000,Amateur,primary,
24890000,24990000,Amateur-Satellite,primary,
24990000,25005000,Standard Frequency and Time Signal (25 000 kHz),primary,
25005000,25010000,Standard Frequency and Time Signal,primary,
25005000,25010000,Space Research,secondary,
25010000,25070000,Fixed,primary,
25010000,25070000,Mobile except aeronautical mobile,primary,
25070000,25210000,Maritime Mobile,primary,
25210000,25550000,Fixed,primary,
25210000,25550000,Mobile except aeronautical mobile,primary,
25550000,25670000,Radio Astronomy,primary,
25670000,26100000,Broadcasting,primary,
26100000,26175000,Maritime Mobile,primary,
26175000,26200000,Fixed,primary,
26175000,26200000,Mobile except aeronautical mobile,primary,
26200000,26350000,Fixed,primary,
26200000,26350000,Mobile except aeronautical mobile,primary,
26200000,26350000,Radiolocation,secondary,
26350000,27500000,Fixed,primary,
26350000,27500000,Mobile except aeronautical mobile,primary,
27500000,28000000,Fixed,primary,
27500000,28000000,Meteorological Aids,primary,
27500000,28000000,Mobile,primary,
28000000,29700000,Amateur-Satellite,primary,
28000000,29700000,Amateur,primary,
29700000,30005000,Mobile,primary,
30005000,30010000,Mobile,primary,
30010000,37500000,Mobile,primary,
37500000,38250000,Mobile,primary,
37500000,38250000,Radio Astronomy,secondary,
38250000,39000000,Mobile,primary,
39000000,39500000,Mobile,primary,
39000000,39500000,Radiolocation,secondary,
39500000,39986000,Mobile,primary,
39986000,40020000,Mobile,primary,
39986000,40020000,Space research,primary,
40020000,40660000,Mobile,primary,
